,SEG_ID,pointId,Animal,Archway,Bicyclist,Bridge,Building,Car,CartLuggagePram,Child,Column_Pole,Fence,LaneMkgsDriv,LaneMkgsNonDriv,Misc_Text,MotorcycleScooter,OtherMoving,ParkingBlock,Pedestrian,Road,RoadShoulder,Sidewalk,SignSymbol,Sky,SUVPickupTruck,TrafficCone,TrafficLight,Train,Tree,Truck_Bus,Tunnel,VegetationMisc,Void,Wall
0,542824,005273,9,0,7860,1132,243498,22912,6,0,5275,1538,378,0,9276,0,832,4038,2034,110112,547,29287,173,300280,15136,2,0,0,59409,10364,0,84307,90646,49525
0,540490,003554,3,0,2108,606,202571,20973,0,0,7024,25557,5214,21,5461,0,1418,9840,2267,132001,586,43258,79,312100,3115,5,16,0,89114,1989,0,38730,104274,40246
0,423386,011152,8,48,463,1114,365957,9639,3,0,3637,857,6242,4,19161,0,551,22451,290,263600,1934,32579,32,60195,323,742,712,0,126774,63,0,32962,80284,17951
0,1080147,004280,0,1,679,2033,129260,22131,1,0,3382,4288,0,0,4433,0,369,17556,268,45778,2363,5538,9,381745,10634,0,2,0,85814,13228,0,169019,87463,62582
0,980074,004676,0,31,307,1125,48538,13241,56,0,2276,5127,2121,0,31255,0,2059,27654,280,106067,490,14746,25,180820,234,105,10,0,319061,111,0,179927,109176,3734
0,980232,004341,1,4,32,3305,52223,4252,0,0,2939,1230,360,36,5050,0,0,39112,0,270921,1969,11727,84,225757,4317,20,1,0,203141,125,0,146987,57960,17023
0,100140,007826,0,0,51,430,376817,465,2,1,341,7841,3,0,40204,0,1,1549,3,764,0,5,2,217421,830,0,2,0,364218,427,0,18654,18093,452
0,620949,007477,0,0,3296,898,210707,36826,14,0,2173,9041,393,1,21049,0,1278,7959,494,158120,760,29176,25,305988,10342,0,3,0,69890,783,0,38978,104171,36211
0,980451,004458,0,0,11431,1035,146116,50563,0,0,2137,1658,670,2,530,0,1042,23983,518,128001,3386,8248,0,368276,6640,0,0,0,90394,5888,0,59360,104122,34576
0,240804,011176,0,0,124,632,336262,5033,0,0,4406,821,232,0,23481,0,14,6088,34,49806,635,6834,122,343297,4293,0,0,0,103127,430,0,84978,33172,44755
