NAME,totalPop,whitePop,state,county,tract,block group,whitePercep,nonwhitePercep
"Block Group 5, Census Tract 84, Philadelphia County, Pennsylvania",667,6,42,101,008400,5,0.008995502248875561,0.9910044977511244
"Block Group 3, Census Tract 90, Philadelphia County, Pennsylvania",1478,874,42,101,009000,3,0.591339648173207,0.40866035182679294
"Block Group 1, Census Tract 102, Philadelphia County, Pennsylvania",767,0,42,101,010200,1,0.0,1.0
"Block Group 1, Census Tract 236, Philadelphia County, Pennsylvania",638,521,42,101,023600,1,0.8166144200626959,0.1833855799373041
"Block Group 2, Census Tract 239, Philadelphia County, Pennsylvania",411,141,42,101,023900,2,0.34306569343065696,0.656934306569343
"Block Group 3, Census Tract 242, Philadelphia County, Pennsylvania",780,11,42,101,024200,3,0.014102564102564103,0.985897435897436
"Block Group 3, Census Tract 245, Philadelphia County, Pennsylvania",866,41,42,101,024500,3,0.04734411085450346,0.9526558891454966
"Block Group 2, Census Tract 167.01, Philadelphia County, Pennsylvania",614,0,42,101,016701,2,0.0,1.0
"Block Group 1, Census Tract 83.02, Philadelphia County, Pennsylvania",886,0,42,101,008302,1,0.0,1.0
"Block Group 2, Census Tract 147, Philadelphia County, Pennsylvania",1743,1006,42,101,014700,2,0.5771658060814687,0.4228341939185313
"Block Group 1, Census Tract 156, Philadelphia County, Pennsylvania",915,397,42,101,015600,1,0.43387978142076505,0.5661202185792349
"Block Group 3, Census Tract 309, Philadelphia County, Pennsylvania",1532,243,42,101,030900,3,0.15861618798955612,0.8413838120104439
"Block Group 1, Census Tract 10.02, Philadelphia County, Pennsylvania",1560,1483,42,101,001002,1,0.9506410256410256,0.049358974358974406
"Block Group 1, Census Tract 10.01, Philadelphia County, Pennsylvania",1443,1302,42,101,001001,1,0.9022869022869023,0.09771309771309766
"Block Group 4, Census Tract 191, Philadelphia County, Pennsylvania",1700,972,42,101,019100,4,0.571764705882353,0.42823529411764705
"Block Group 5, Census Tract 191, Philadelphia County, Pennsylvania",2007,531,42,101,019100,5,0.2645739910313901,0.7354260089686099
